Login ID,Repo Count,Follower Count,Member Since
mmcgrana,60.0,1073.0,20080306.0
mm1t,314.0,2354.0,20080308.0
mokeefe,1.0,20.0,20080325.0
ttriche,176.0,176.0,20080402.0
gdeglin,26.0,56.0,20080404.0
dehora,46.0,85.0,20080406.0
ryanking,34.0,247.0,20080407.0
mrflip,144.0,269.0,20080409.0
dcreager,89.0,231.0,20080415.0
dlwh,47.0,295.0,20080507.0
jmalonzo,67.0,83.0,20080601.0
idtuwnihtelts,1.0,274.0,20080601.0
fredrik,58.0,72.0,20080606.0
jonbaer,293.0,166.0,20080610.0
massie,39.0,120.0,20080804.0
EricPKerr,56.0,36.0,20080811.0
fmu,2.0,6.0,20080825.0
aparo,151.0,149.0,20081008.0
so,0.0,20.0,20081021.0
gourneau,75.0,69.0,20081022.0
ret,19.0,37.0,20081109.0
osteklalr,24.0,56.0,20081118.0
linkerlin,311.0,155.0,20081128.0
matteobertozzi,23.0,65.0,20081204.0
abradsrvtyi,58.0,94.0,20081204.0
cwsaylor,25.0,41.0,20080214.0
daegr,129.0,52.0,20080912.0
miamiruby,130.0,58.0,20081016.0
maca,91.0,101.0,20081019.0
mianeihcxtegamra,2.0,6.0,20081025.0
maggit,50.0,279.0,20081107.0
willywg,41.0,45.0,20090101.0
jjuarez,126.0,52.0,20090120.0
hciorildcel,161.0,120.0,20090125.0
endymion,97.0,26.0,20090206.0
xalakox,22.0,28.0,20090317.0
carlitos,27.0,82.0,20090325.0
christianrojas,11.0,36.0,20090604.0
scifisamurai,12.0,32.0,20090928.0
uokesita,64.0,178.0,20091013.0
guilleiguaran,258.0,623.0,20091202.0
shmangles,3.0,2.0,20100123.0
hgrncu,72.0,79.0,20100323.0
hugoerg56,31.0,20.0,20100521.0
betacar,27.0,36.0,20100706.0
mattsgarrison,78.0,17.0,20100812.0
iamhabitat,24.0,8.0,20100916.0
gbrtoaleg,47.0,90.0,20101024.0
Chelo,5.0,10.0,20110129.0
ajsb85,438.0,925.0,20110311.0
esneider,47.0,145.0,20110313.0
ainame,139.0,291.0,20110424.0
cdemeasntjoosoe,11.0,48.0,20110501.0
javadabadoo,21.0,30.0,20110505.0
ahmetabdi,154.0,709.0,20110509.0
alfredwesterveld,52.0,64.0,20080413.0
morganrallen,107.0,54.0,20080902.0
aral,498.0,620.0,20081220.0
mattorb,39.0,44.0,20090309.0
elango,73.0,43.0,20090320.0
andresdouglas,33.0,21.0,20090410.0
leereilly,402.0,1733.0,20090831.0
rnfrkaa,51.0,26.0,20090916.0
jrkzate,89.0,59.0,20091113.0
Skyhoper,1.0,4.0,20091117.0
SbnaepuwC,8.0,107.0,20091207.0
adkdev,5.0,27.0,20100303.0
ienaPocr,49.0,98.0,20100306.0
watcherdm,104.0,56.0,20100505.0
broccolini,43.0,1956.0,20100717.0
gavinuhma,28.0,147.0,20100917.0
marothstein,41.0,49.0,20101012.0
jefftrudeau,9.0,8.0,20101119.0
eliwefr,127.0,101.0,20110408.0
yjnyab,25.0,15.0,20110509.0
STUNT101,0.0,71.0,20110515.0
josephhabib,5.0,4.0,20110715.0
Hungsta,4.0,32.0,20110728.0
wemeetagain,75.0,130.0,20120118.0
oggata,162.0,46.0,20120120.0
tigefa4u,265.0,456.0,20120302.0
JSansalone,8.0,281.0,20120608.0
bjsaca,53.0,853.0,20120922.0
zulhfreelancer,205.0,157.0,20130129.0
shanesveller,102.0,96.0,20080225.0
ianv,6.0,144.0,20080403.0
nyartm,238.0,156.0,20080403.0
teehemkay,12.0,20.0,20080404.0
dejanr,43.0,56.0,20080726.0
bbigras,170.0,36.0,20080910.0
RobLoach,791.0,372.0,20080918.0
godane,31.0,14.0,20081007.0
h4ck3rm1k3,1247.0,563.0,20081117.0
joachifm,29.0,47.0,20081221.0
jb55,536.0,399.0,20090110.0
newhoggy,74.0,84.0,20090313.0
stigtsp,152.0,77.0,20090419.0
Juiceman,22.0,4.0,20090426.0
plumenator,83.0,78.0,20090711.0
rohithadassanayake,5.0,526.0,20090730.0
573,134.0,78.0,20090906.0
samueldr,110.0,152.0,20090929.0
aycanirican,55.0,77.0,20091005.0
majorgreys,45.0,41.0,20091119.0
sbrsoaib,27.0,12.0,20100204.0
aviraldg,75.0,117.0,20100407.0
terlar,100.0,111.0,20100518.0
snvihualMasE,193.0,98.0,20100609.0
fabianhjr,12.0,75.0,20100613.0
pbcha,146.0,92.0,20100716.0
ncxk,37.0,18.0,20100814.0
wolfflow,67.0,56.0,20100820.0
timothyklim,229.0,174.0,20100904.0
Boyquotes,163.0,59.0,20100927.0
daaku,166.0,480.0,20080221.0
benhiller,15.0,74.0,20080227.0
bsujoiph,40.0,56.0,20080610.0
eston,9.0,141.0,20090123.0
traiem,16.0,49.0,20090124.0
keito,2.0,82.0,20090622.0
idmensrgx,15.0,446.0,20090903.0
cffeteato,68.0,249.0,20091012.0
liveink,76.0,36.0,20091027.0
doamnnladylRaCr,31.0,79.0,20100505.0
dennispi,7.0,9.0,20100903.0
hj91,197.0,32.0,20100912.0
BrianGator,0.0,5.0,20110114.0
yuanwencong,4.0,10.0,20110318.0
rajanand,31.0,46.0,20110827.0
selimozergun,4.0,9.0,20110906.0
obfuscat3d,1.0,11.0,20111010.0
ramoem,0.0,0.0,20111126.0
Ryanfahiramaulana,0.0,3.0,20111129.0
Zer0Root,3.0,158.0,20120102.0
waibo,190.0,46.0,20120103.0
ChrisMoney,0.0,26.0,20120115.0
kmarrivnunhti,116.0,43.0,20120207.0
peterprokop,74.0,39.0,20120226.0
rajeshvv,168.0,38.0,20120307.0
JurandyBitConnect,3.0,10.0,20120620.0
drewmeyers,1.0,31.0,20120818.0
gnashe,2.0,31.0,20120830.0
csjaba,53.0,853.0,20120922.0
abhiyerra,129.0,62.0,20080411.0
brianmario,33.0,855.0,20080526.0
DoktahWorm,10.0,11.0,20091011.0
hmcfletch,35.0,16.0,20081102.0
fcaueaoirb,109.0,99.0,20081209.0
jpf,157.0,288.0,20081219.0
hellojwilde,49.0,44.0,20090105.0
miSi,40.0,50.0,20090105.0
minglecm,35.0,78.0,20090110.0
gcollazo,89.0,420.0,20090307.0
allangrant,15.0,35.0,20090312.0
kanzure,160.0,474.0,20090703.0
seanahrens,18.0,15.0,20090729.0
adamJLev,40.0,27.0,20100123.0
danstorms,7.0,8.0,20100809.0
naharris212,0.0,5.0,20101124.0
rchadvudkia,26.0,28.0,20101130.0
obrlrjbeaaad,11.0,47.0,20110510.0
SourceBoy,6.0,3.0,20110516.0
jsonmaur,32.0,183.0,20110712.0
macressler,947.0,300.0,20111116.0
MnkyPwz,20.0,17.0,20120101.0
toxtli,1150.0,2113.0,20120102.0
Bunlong,215.0,1866.0,20120106.0
b3bakyt,16.0,3.0,20120223.0
